latitude,longitude,elevation,gravity
-26.26334,25.015,1230.16,978681.38
-26.38713,25.01932,1297.0,978669.02
-26.39667,25.02499,1304.84,978669.28
-26.07668,25.045,1165.24,978681.08
-26.35001,25.07668,1262.47,978665.19
-26.12334,25.08833,1169.51,978679.28
-26.05667,25.12167,1189.62,978664.89
-26.27333,25.12334,1216.14,978676.18
-26.19501,25.12833,1204.86,978679.48
-26.05333,25.17999,1193.59,978667.69
-26.23,25.18668,1220.41,978664.09
-26.425,25.18832,1313.07,978651.89
-26.075,25.23833,1221.93,978657.19
-26.16499,25.245,1222.24,978667.69
-26.53833,25.29167,1360.61,978662.99
-26.10001,25.3,1237.17,978639.09
-26.05333,25.345,1279.54,978631.2
-26.36667,25.34666,1301.79,978655.79
-26.13333,25.35834,1268.57,978634.19
-26.61501,25.36667,1355.74,978673.38
-26.14999,25.42667,1288.99,978640.09
-26.93832,25.44333,1344.77,978709.97
-26.68832,25.44667,1338.67,978693.88
-26.895,25.45332,1335.93,978713.47
-26.325,25.47166,1381.34,978643.29
-26.795,25.47501,1346.59,978695.38
-26.21333,25.50833,1341.41,978646.29
-26.94833,25.52333,1362.75,978708.47
-26.63667,25.53168,1349.03,978683.58
-26.27333,25.55833,1357.57,978651.59
-26.59167,25.60667,1354.52,978686.58
-26.78667,25.60834,1377.68,978688.28
-26.50667,25.61,1350.25,978675.38
-26.37833,25.61166,1351.17,978663.59
-26.35167,25.61667,1352.38,978661.69
-26.99667,25.62334,1381.04,978693.88
-26.45667,25.63333,1351.78,978669.59
-26.215,25.64333,1366.1,978649.09
-26.55333,25.68668,1379.82,978673.08
-26.99167,25.71001,1414.56,978686.98
-26.79167,25.73167,1386.83,978674.58
-26.16833,25.735,1394.14,978633.1
-26.96333,25.77834,1436.2,978676.28
-26.20168,25.79832,1204.25,978672.18
-26.52167,25.80333,1380.12,978657.29
-26.795,25.83667,1421.57,978662.79
-26.96333,25.84666,1449.01,978672.58
-26.39333,25.86667,1409.08,978621.5
-26.815,25.905,1456.93,978659.99
-26.94333,25.92332,1459.67,978667.48
-26.33167,25.92833,1399.02,978632.3
-26.97,25.965,1478.57,978669.68
-26.92332,25.97,1495.03,978662.09
-26.06168,25.98,1500.21,978588.81
-26.735,25.98833,1449.01,978663.69
-26.84332,25.99333,1524.29,978651.69
-26.27834,26.0,1409.38,978623.4
-26.80667,26.00333,1481.62,978656.99
-26.65668,26.01334,1433.46,978645.79
-26.60667,26.04167,1441.08,978641.29
-26.12666,26.05667,1509.05,978589.11
-26.53333,26.06667,1446.87,978636.79
-26.23334,26.08833,1428.89,978605.5
-26.46832,26.10001,1494.42,978626.7
-26.03168,26.10333,1508.14,978583.01
-26.37833,26.11166,1473.08,978627.6
-26.80333,26.12167,1539.53,978638.49
-26.31332,26.14,1472.78,978616.8
-26.10001,26.14,1492.9,978588.41
-26.24333,26.145,1442.91,978612.4
-26.13667,26.15833,1479.79,978594.51
-26.535,26.16499,1505.09,978627.0
-26.79167,26.19167,1572.14,978637.49
-26.565,26.2,1508.14,978638.49
-26.98,26.205,1472.17,978679.68
-26.21001,26.20833,1448.09,978602.4
-26.295,26.265,1515.45,978593.71
-26.50833,26.27667,1482.84,978636.99
-26.96167,26.28667,1424.32,978682.78
-26.39833,26.28667,1480.1,978626.4
-26.11,26.28667,1514.23,978576.31
-26.935,26.31833,1463.94,978671.18
-26.78,26.31833,1534.04,978644.79
-26.32668,26.325,1481.31,978613.3
-26.59332,26.32668,1543.8,978633.3
-26.08,26.34332,1520.63,978570.11
-26.66167,26.36333,1518.5,978647.49
-26.05667,26.37666,1517.59,978569.31
-26.345,26.405,1435.59,978632.1
-26.75833,26.42168,1460.28,978653.29
-26.78,26.46001,1431.94,978653.79
-26.00833,26.47,1523.68,978586.11
-26.33,26.48666,1436.81,978629.7
-26.89667,26.51167,1385.61,978686.88
-26.81332,26.52333,1371.59,978675.28
-26.32832,26.57333,1457.24,978618.1
-26.68167,26.59167,1346.9,978665.89
-26.72501,26.60001,1336.23,978669.68
-26.87334,26.605,1335.93,978694.28
-26.62,26.60834,1353.91,978659.29
-26.78168,26.61166,1318.55,978685.18
-26.55833,26.63,1353.91,978653.29
-26.075,26.64166,1501.43,978607.4
-26.96001,26.65668,1293.86,978710.57
-26.48833,26.65833,1358.18,978643.99
-26.345,26.66333,1503.87,978607.1
-26.87334,26.66333,1307.88,978699.68
-26.87,26.66667,1317.64,978695.08
-26.88834,26.66667,1314.59,978697.88
-26.93333,26.66833,1291.12,978706.47
-26.87,26.67,1317.64,978694.98
-26.99167,26.675,1294.17,978712.07
-26.11501,26.71001,1504.78,978603.2
-26.435,26.71333,1370.37,978633.5
-26.34167,26.73167,1469.73,978614.2
-26.84167,26.73666,1351.47,978686.78
-26.17833,26.755,1545.93,978586.01
-26.21001,26.76833,1516.37,978591.51
-26.38499,26.77,1420.96,978620.2
-26.34167,26.79167,1447.18,978614.7
-26.32001,26.825,1470.95,978608.6
-26.82167,26.83167,1319.77,978685.68
-26.27167,26.86667,1487.11,978606.3
-26.37334,26.89999,1457.84,978613.0
-26.32333,26.90167,1502.65,978603.1
-26.20833,26.90167,1506.31,978595.01
-26.79167,26.92332,1339.28,978688.88
-26.42833,26.92999,1467.9,978615.6
-26.14999,26.935,1522.77,978585.51
-26.07832,26.96667,1556.6,978578.81
-26.29167,26.96667,1534.96,978589.11
-26.75999,26.98666,1388.96,978681.38
-26.48,26.98666,1477.66,978621.0
-26.01167,27.02499,1627.92,978554.32
-26.49667,27.05,1461.2,978633.1
-26.82832,27.08167,1335.32,978704.57
-26.71001,27.08667,1343.85,978691.18
-26.28168,27.09167,1520.63,978580.51
-26.62334,27.10834,1383.78,978670.28
-26.57001,27.12666,1402.98,978659.59
-26.34666,27.13167,1456.93,978618.5
-26.53999,27.13333,1396.58,978658.59
-26.50833,27.14333,1416.7,978649.29
-26.28168,27.14667,1466.99,978599.9
